SiteID,SiteName,Region,AnalysisEndDate,SamplingDate,Month,Year,SoilType,Crop,CropID,Growth Stage,SoilLayer,Layer depth (cm),Bulk density,pH,Total Nitrogen,Total Carbon,OrganicMatter,Carbon-Nitrogen ratio,Potentially Available N,AmmoniacalN,NitrateN,MineralN,Mineral N (kg/ha),Mineral N + PAN (kg/ha),Total Hot water N (kg/ha),Hot water N INORGANIC (kg/ha),Hot water N organic(kg/ha),Hot WaterN,HotWaterSolubleInorganicN,HotWaterSolubleOrganicN,OlsenP,CalciumQT,MagnesiumQT,PotassiumQT,SodiumQT,Note,Lab,HWN to kgN for Mineralisable calc,,,,,,,,,,,,
8,Lovett,Canterbury,02/11/2020,22/10/2020,10,2020,Sedimentary,Potato,8Pot-A,Growth,60 - 90 cm,30,1.48,,,,,,,2,30,33,146,,0,0,0,,,,,,,,,Sampled from ridge - prior to finalised sampling protocol,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,0 - 15 cm,15,0.55,6.5,0.5%,4.8%,8.2%,,59,2,47,48,39,98,133,0,0,162,,,36,12,23,15,4,Sampled from ridge - prior to finalised sampling protocol,Eurofins,88.68616269,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,15 - 30 cm,15,0.67,6.5,0.5%,4.7%,8.1%,,52,2,73,75,75,127,193,0,0,192,,,33,12,23,13,5,Sampled from ridge - prior to finalised sampling protocol,Eurofins,128.4818833,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,30 - 60 cm,30,0.81,,,,,,,2,10,12,29,,0,0,0,,,,,,,,,Sampled from ridge - prior to finalised sampling protocol,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,60 - 90 cm,30,0.81,,,,,,,2,3,5,12,,0,0,0,,,,,,,,,Sampled from ridge - prior to finalised sampling protocol,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,15 - 30 cm,15,0.67,6.7,0.5%,4.3%,7.4%,,58,2,21,23,23,81,124,0,0,124,,,32,13,27,15,4,Sampled from trough - prior to finalised sampling protocol,Eurofins,82.97788297,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,30 - 60 cm,30,0.81,,,,,,,2,11,13,32,,0,0,0,,,,,,,,,Sampled from trough - prior to finalised sampling protocol,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,19/11/2020,02/11/2020,11,2020,Sedimentary,Potato,4Pot-A,Growth,60 - 90 cm,30,0.81,,,,,,,2,4,5,12,,0,0,0,,,,,,,,,Sampled from trough - prior to finalised sampling protocol,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,30/11/2020,16/11/2020,11,2020,Volcanic,Barley,2Bar-A,Growth,0 - 15 cm,15,1.06,6.8,0.2%,1.9%,3.3%,11,26,4,4,8,13,39,81,29,52,51,18,33,175,15,42,31,8,,Eurofins,53.94643623,,,,,,,,,,,,
2,Jivans,Pukekohe,30/11/2020,16/11/2020,11,2020,Volcanic,Barley,2Bar-A,Growth,15 - 30 cm,15,0.76,6.8,0.2%,1.8%,3.2%,12,22,1,1,1,1,23,46,17,29,40,15,25,167,16,42,29,9,,Eurofins,30.54024431,,,,,,,,,,,,
2,Jivans,Pukekohe,30/11/2020,16/11/2020,11,2020,Volcanic,Barley,2Bar-A,Growth,30 - 60 cm,30,0.92,,,,,,,2,1,2,6,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,30/11/2020,16/11/2020,11,2020,Volcanic,Mustard,3Must-A,Growth,0 - 15 cm,15,0.99,6.4,0.2%,2.4%,4.1%,13,26,2,1,2,3,29,92,22,70,62,15,47,72,13,33,20,7,,Eurofins,61.50133168,,,,,,,,,,,,
3,Bhana,Tuakau,30/11/2020,16/11/2020,11,2020,Volcanic,Mustard,3Must-A,Growth,15 - 30 cm,15,0.87,6.4,0.2%,2.3%,3.9%,12,22,1,1,1,1,23,65,16,49,50,12,38,64,13,31,10,8,,Eurofins,43.34715317,,,,,,,,,,,,
3,Bhana,Tuakau,30/11/2020,16/11/2020,11,2020,Volcanic,Mustard,3Must-A,Growth,30 - 60 cm,30,0.92,,,,,,,2,2,4,11,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,04/12/2020,20/11/2020,11,2020,Sedimentary,Potato,8Pot-A,Growth,0 - 15 cm,15,0.98,5.8,0.2%,2.4%,4.1%,12,134,14,135,149,220,354,292,136,156,198,92,106,58,13,36,21,9,,Eurofins,194.5671286,,,,,,,,,,,,
