SiteID,SiteName,Region,AnalysisEndDate,SamplingDate,Month,Year,SoilType,Crop,CropID,Growth Stage,SoilLayer,Layer depth (cm),Bulk density,pH,Total Nitrogen,Total Carbon,OrganicMatter,Carbon-Nitrogen ratio,Potentially Available N,AmmoniacalN,NitrateN,MineralN,Mineral N (kg/ha),Mineral N + PAN (kg/ha),Total Hot water N (kg/ha),Hot water N INORGANIC (kg/ha),Hot water N organic(kg/ha),Hot WaterN,HotWaterSolubleInorganicN,HotWaterSolubleOrganicN,OlsenP,CalciumQT,MagnesiumQT,PotassiumQT,SodiumQT,Note,Lab,HWN to kgN for Mineralisable calc,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,19/08/2022,11/08/2022,8,2022,Volcanic,Winter Potato,WP,Growth,60 - 90 cm,30,0.76,,,,,,,7,21,28,63.99284372,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,03/09/2022,24/08/2022,8,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.2,0.2%,2.0%,3.5%,10,28,6,4,10,10.41570696,38.41570696,43,21,22,41,20,21,186,16,44,40,7,,Eurofins,28.46959901,,,,,,,,,,,,
2,Jivans,Pukekohe,03/09/2022,24/08/2022,8,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.5,0.2%,1.8%,3.2%,9,25,5,3,8,11.32527441,36.32527441,30,25,3,21,18,2,185,19,49,37,9,,Eurofins,19.81923022,,,,,,,,,,,,
2,Jivans,Pukekohe,03/09/2022,24/08/2022,8,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,6,3,9,24.4863176,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,03/09/2022,24/08/2022,8,2022,Volcanic,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,6,6,12,27.42550445,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,02/09/2022,24/08/2022,8,2022,Volcanic,Onions,3Oni-A,Growth,0 - 15 cm,15,1.05,6.3,0.2%,2.4%,4.1%,10,82,39,13,52,81.76909758,163.7690976,74,60,14,47,38,9,76,14,35,15,6,,Eurofins,49.2711229,,,,,,,,,,,,
3,Bhana,Tuakau,02/09/2022,24/08/2022,8,2022,Volcanic,Onions,3Oni-A,Growth,15 - 30 cm,15,1.08,6.1,0.3%,2.4%,4.1%,9,40,9,10,19,30.65811002,70.65811002,90,48,40,56,30,25,76,14,35,15,8,,Eurofins,60.24049688,,,,,,,,,,,,
3,Bhana,Tuakau,02/09/2022,24/08/2022,8,2022,Volcanic,Onions,3Oni-A,Growth,30 - 60 cm,30,0.92,,,,,,,6,7,13,35.76945632,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,02/09/2022,24/08/2022,8,2022,Volcanic,Onions,3Oni-A,Growth,60 - 90 cm,30,0.83,,,,,,,7,17,24,59.57721689,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,05/09/2022,24/08/2022,8,2022,Sedimentary,Turf Grass,9Gra-A,Growth,0 - 15 cm,15,1.33,6.2,0.3%,3.2%,5.5%,11,127,5,3,8,15.96624182,142.9662418,190,26,164,95,13,82,22,13,23,14,4,,Eurofins,126.3994144,,,,,,,,,,,,
9,Oakley,Canterbury,05/09/2022,24/08/2022,8,2022,Sedimentary,Turf Grass,9Gra-A,Growth,15 - 30 cm,15,1.37,6,0.2%,1.7%,2.9%,10,40,5,2,7,14.3592835,54.3592835,62,12,49,30,6,24,15,8,15,5,8,,Eurofins,41.02652429,,,,,,,,,,,,
9,Oakley,Canterbury,05/09/2022,24/08/2022,8,2022,Sedimentary,Turf Grass,9Gra-A,Growth,30 - 60 cm,30,1.05,,,,,,,5,0,5,15.75,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,05/09/2022,24/08/2022,8,2022,Sedimentary,Turf Grass,9Gra-A,Growth,60 - 90 cm,30,1.05,,,,,,,6,0,6,18.9,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,05/09/2022,25/08/2022,6,2022,Sedimentary,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.4,0.2%,2.2%,3.7%,10,66,5,5,10,10.41570696,76.41570696,80,15,65,77,14,62,47,14,31,18,4,,Eurofins,53.46729571,,,,,,,,,,,,
8,Lovett,Canterbury,05/09/2022,25/08/2022,6,2022,Sedimentary,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.1,0.2%,1.9%,3.3%,10,58,6,5,10,14.15659301,72.15659301,115,18,96,81,13,68,39,13,31,9,5,,Eurofins,76.44560227,,,,,,,,,,,,
8,Lovett,Canterbury,05/09/2022,25/08/2022,6,2022,Sedimentary,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,5,7,12,32.64842347,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,05/09/2022,25/08/2022,6,2022,Sedimentary,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,5,8,13,29.71096315,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,5Gra-A,Growth,0 - 15 cm,15,1.07,7,0.3%,3.2%,5.5%,10,40,5,0,5,8.009050403,48.0090504,95,13,83,59,8,52,91,20,25,22,4,,Eurofins,63.00452983,,,,,,,,,,,,
5,Pescini,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,5Gra-A,Growth,15 - 30 cm,15,1.12,6.9,0.3%,3.1%,5.3%,10,31,5,0,5,8.385323178,39.38532318,75,10,64,45,6,38,68,16,26,19,4,,Eurofins,50.31193907,,,,,,,,,,,,
5,Pescini,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,5Gra-A,Growth,30 - 60 cm,30,1.15,,,,,,,6,0,6,20.75418127,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,5Gra-A,Growth,60 - 90 cm,30,1.42,,,,,,,5,0,5,21.36898395,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,6Gra-B,Pre-harvest,0 - 15 cm,15,1.11,7,0.3%,2.5%,4.3%,9,52,5,3,8,13.34074627,65.34074627,118,18,100,71,11,60,139,20,57,20,4,,Eurofins,78.93274877,,,,,,,,,,,,
6,Woodhaven,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,6Gra-B,Pre-harvest,15 - 30 cm,15,1.26,6.9,0.3%,2.4%,4.1%,8,40,5,2,7,13.18094451,53.18094451,102,9,92,54,5,49,124,20,46,13,4,,Eurofins,67.78771464,,,,,,,,,,,,
6,Woodhaven,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,6Gra-B,Pre-harvest,30 - 60 cm,30,1.45,,,,,,,5,2,8,34.74914315,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,09/09/2022,29/08/2022,8,2022,Sedimentary,Grass,6Gra-B,Pre-harvest,60 - 90 cm,30,1.43,,,,,,,5,3,9,38.56164174,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,12/09/2022,01/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,0 - 15 cm,15,0.75,6.5,0.5%,5.1%,8.8%,10,51,6,4,10,11.28818325,62.28818325,120,17,103,106,15,91,41,13,31,14,3,,Eurofins,79.76982828,,,,,,,,,,,,
4,Balles,Matamata,12/09/2022,01/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,15 - 30 cm,15,0.78,6.4,0.4%,3.4%,5.8%,10,24,7,6,13,15.30705447,39.30705447,54,13,41,46,11,35,17,10,25,9,4,,Eurofins,36.108949,,,,,,,,,,,,
4,Balles,Matamata,12/09/2022,01/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,30 - 60 cm,30,0.81,,,,,,,6,10,16,38.98825233,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,12/09/2022,01/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,60 - 90 cm,30,0.81,,,,,,,5,14,19,46.37012227,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,16/09/2022,01/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Growth,0 - 15 cm,15,1.17,5.9,0.2%,2.0%,3.5%,9,43,3,11,14,25,68,185,26,158,105,15,90,35,18,52,18,6,,Eurofins,123.2312567,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,16/09/2022,01/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Growth,15 - 30 cm,15,1.13,6.2,0.2%,1.1%,2.0%,7,17,3,8,11,19,36,82,15,68,48,9,40,16,20,56,7,7,,Eurofins,54.36465043,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,16/09/2022,01/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Growth,30 - 60 cm,30,1.05,,,,,,,2,5,7,22,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,16/09/2022,01/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Growth,60 - 90 cm,30,1.05,,,,,,,3,2,5,16,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,17/09/2022,06/09/2022,7,2022,Volcanic,Grass,1Gra-A,Growth,0 - 15 cm,15,1.04,6.4,0.2%,1.9%,3.3%,10,20,5,0,5,8,28,64,12,53,41,8,34,130,14,20,15,6,,Eurofins,42.56111702,,,,,,,,,,,,
1,Wilcox,Pukekawa,17/09/2022,06/09/2022,7,2022,Volcanic,Grass,1Gra-A,Growth,15 - 30 cm,15,0.95,6.1,0.2%,1.7%,2.9%,9,15,3,0,3,4,19,30,3,27,21,2,19,93,12,18,17,7,,Eurofins,20.05162582,,,,,,,,,,,,
1,Wilcox,Pukekawa,17/09/2022,06/09/2022,7,2022,Volcanic,Grass,1Gra-A,Growth,30 - 60 cm,30,0.91,,,,,,,3,2,5,14,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,17/09/2022,06/09/2022,7,2022,Volcanic,Winter Potato,WP,Growth,0 - 15 cm,15,0.93,6.3,0.2%,2.3%,3.9%,11,39,4,15,19,26,65,93,26,67,67,19,48,106,14,20,23,5,,Eurofins,62.00211269,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,17/09/2022,06/09/2022,7,2022,Volcanic,Winter Potato,WP,Growth,15 - 30 cm,15,0.94,6.1,0.2%,2.2%,3.7%,10,25,3,8,11,15,40,87,24,65,62,17,46,136,14,24,25,5,,Eurofins,58.05661366,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,17/09/2022,06/09/2022,7,2022,Volcanic,Winter Potato,WP,Growth,30 - 60 cm,30,0.91,,,,,,,4,27,31,84,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,30/09/2022,20/09/2022,9,2022,Sedimentary,Turf Grass,9Gra-A,Growth,0 - 15 cm,15,1.33,6.5,0.3%,3.1%,5.4%,11,91,3,0,3,6,97,297,36,261,149,18,131,18,14,24,17,5,,Eurofins,198.2475026,,,,,,,,,,,,
9,Oakley,Canterbury,30/09/2022,20/09/2022,9,2022,Sedimentary,Turf Grass,9Gra-A,Growth,15 - 30 cm,15,1.37,6,0.2%,1.6%,2.8%,10,37,4,1,5,10,47,306,12,293,149,6,143,10,9,18,8,6,,Eurofins,203.7650706,,,,,,,,,,,,
9,Oakley,Canterbury,30/09/2022,20/09/2022,9,2022,Sedimentary,Turf Grass,9Gra-A,Growth,30 - 60 cm,30,1.05,,,,,,,3,0,3,9,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,30/09/2022,20/09/2022,9,2022,Sedimentary,Turf Grass,9Gra-A,Growth,60 - 90 cm,30,1.05,,,,,,,3,0,3,9,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,03/10/2022,22/09/2022,9,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,5.9,0.2%,2.1%,3.6%,10,33,3,6,9,9,42,181,18,164,174,17,157,225,17,41,40,6,,Eurofins,120.8222007,,,,,,,,,,,,
2,Jivans,Pukekohe,03/10/2022,22/09/2022,9,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.1,0.2%,1.8%,3.1%,9,21,3,0,3,4,25,248,25,222,175,18,157,199,18,45,36,8,,Eurofins,165.1602518,,,,,,,,,,,,
2,Jivans,Pukekohe,03/10/2022,22/09/2022,9,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,3,8,11,30,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,03/10/2022,22/09/2022,9,2022,Volcanic,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,4,2,6,14,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,03/10/2022,22/09/2022,9,2022,Volcanic,Onions,3Oni-A,Growth,0 - 15 cm,15,1.05,5.7,0.2%,2.4%,4.1%,11,55,28,6,34,53,108,299,24,275,190,15,175,76,14,34,17,6,,Eurofins,199.1811351,,,,,,,,,,,,
3,Bhana,Tuakau,03/10/2022,22/09/2022,9,2022,Volcanic,Onions,3Oni-A,Growth,15 - 30 cm,15,1.08,6.1,0.2%,2.2%,3.7%,10,31,3,2,6,10,41,244,29,215,151,18,133,68,14,33,16,7,,Eurofins,162.4341969,,,,,,,,,,,,
3,Bhana,Tuakau,03/10/2022,22/09/2022,9,2022,Volcanic,Onions,3Oni-A,Growth,30 - 60 cm,30,0.92,,,,,,,5,14,20,55,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,03/10/2022,22/09/2022,9,2022,Volcanic,Onions,3Oni-A,Growth,60 - 90 cm,30,0.83,,,,,,,7,7,14,35,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,07/10/2022,28/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,0 - 15 cm,15,0.75,6.4,0.5%,4.7%,8.0%,10,57,4,39,43,49,106,170,60,111,151,53,98,51,14,31,14,3,,Eurofins,113.634378,,,,,,,,,,,,
4,Balles,Matamata,07/10/2022,28/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,15 - 30 cm,15,0.78,6.5,0.4%,3.4%,5.9%,10,19,5,10,15,18,37,101,22,79,86,19,67,20,10,25,8,4,,Eurofins,67.50803509,,,,,,,,,,,,
4,Balles,Matamata,07/10/2022,28/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,30 - 60 cm,30,0.81,,,,,,,4,7,11,27,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,07/10/2022,28/09/2022,9,2022,Volcanic,Onions,4Oni-A,Growth,60 - 90 cm,30,0.81,,,,,,,6,10,16,39,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,11/10/2022,29/09/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,0 - 15 cm,15,1.29,6.1,0.2%,2.1%,3.7%,10,74,3,9,13,25,99,232,44,187,120,23,97,45,14,30,17,4,,Eurofins,154.3561833,,,,,,,,,,,,
8,Lovett,Canterbury,11/10/2022,29/09/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,15 - 30 cm,15,1.33,6,0.2%,1.6%,2.8%,9,82,22,12,34,68,150,224,42,182,112,21,91,31,13,32,12,7,,Eurofins,149.0536227,,,,,,,,,,,,
8,Lovett,Canterbury,11/10/2022,29/09/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,30 - 60 cm,30,1.47,,,,,,,3,5,8,35,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,11/10/2022,29/09/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,60 - 90 cm,30,1.48,,,,,,,4,6,10,44,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/10/2022,29/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Pre-harvest,0 - 15 cm,15,1.17,6.1,0.2%,1.9%,3.3%,8,44,3,10,13,23,67,202,26,176,115,15,100,31,20,55,17,5,,Eurofins,134.9675669,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/10/2022,29/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Pre-harvest,15 - 30 cm,15,1.13,6,0.2%,1.6%,2.8%,8,22,4,9,13,22,44,160,27,133,94,16,78,16,20,56,8,6,,Eurofins,106.4641071,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/10/2022,29/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Pre-harvest,30 - 60 cm,30,1.05,,,,,,,3,10,13,41,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/10/2022,29/09/2022,9,2022,Sedimentary,Grass,7Gra-B,Pre-harvest,60 - 90 cm,30,1.05,,,,,,,3,4,6,19,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,20/10/2022,11/10/2022,10,2022,Volcanic,Grass,1Gra-A,Growth,0 - 15 cm,15,1.04,6.4,0.2%,2.0%,3.4%,11,20,3,0,3,5,25,45,17,28,29,11,18,120,15,21,12,6,,Eurofins,30.10420472,,,,,,,,,,,,
1,Wilcox,Pukekawa,20/10/2022,11/10/2022,10,2022,Volcanic,Grass,1Gra-A,Growth,15 - 30 cm,15,0.95,6,0.2%,1.8%,3.0%,10,14,3,0,3,4,18,49,10,39,34,7,27,87,13,20,15,7,,Eurofins,32.46453704,,,,,,,,,,,,
1,Wilcox,Pukekawa,20/10/2022,11/10/2022,10,2022,Volcanic,Grass,1Gra-A,Growth,30 - 60 cm,30,0.91,,,,,,,5,0,5,14,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,22/10/2022,12/10/2022,10,2022,Volcanic,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,6.6,0.2%,2.0%,3.4%,11,25,3,9,12,12,37,42,21,21,40,20,20,172,19,44,40,6,,Eurofins,27.77521855,,,,,,,,,,,,
2,Jivans,Pukekohe,22/10/2022,12/10/2022,10,2022,Volcanic,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.7,0.2%,1.8%,3.1%,10,24,3,11,14,20,44,55,25,31,39,18,22,180,20,50,39,7,,Eurofins,36.80714184,,,,,,,,,,,,
2,Jivans,Pukekohe,22/10/2022,12/10/2022,10,2022,Volcanic,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,3,12,15,41,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,22/10/2022,11/10/2022,7,2022,Volcanic,Winter Potato,WP,Growth,0 - 15 cm,15,0.93,6.3,0.2%,2.2%,3.8%,10,43,9,10,19,26,69,76,26,50,55,19,36,117,14,23,23,5,,Eurofins,50.89725668,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,22/10/2022,11/10/2022,7,2022,Volcanic,Winter Potato,WP,Growth,15 - 30 cm,15,0.94,6.1,0.2%,2.1%,3.7%,11,27,2,4,7,10,37,77,21,58,55,15,41,123,15,25,23,5,,Eurofins,51.5018347,,,,,,,,,,,,
WP,Wilcox-WP,Pukekawa,22/10/2022,11/10/2022,7,2022,Volcanic,Winter Potato,WP,Growth,30 - 60 cm,30,0.91,,,,,,,3,18,21,57,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,5Gra-A,Growth,0 - 15 cm,15,1.07,6.8,0.3%,3.2%,5.5%,11,41,3,0,3,5,46,86,13,74,54,8,46,97,17,23,22,4,,Eurofins,57.6651629,,,,,,,,,,,,
5,Pescini,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,5Gra-A,Growth,15 - 30 cm,15,1.12,6.7,0.3%,3.0%,5.1%,11,24,3,0,3,5,29,114,8,106,68,5,63,73,14,22,18,4,,Eurofins,76.02693014,,,,,,,,,,,,
5,Pescini,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,5Gra-A,Growth,30 - 60 cm,30,1.15,,,,,,,2,0,2,7,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,5Gra-A,Growth,60 - 90 cm,30,1.42,,,,,,,2,0,2,9,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,Fallow,Fallow,0 - 15 cm,15,0.69,7,0.3%,2.4%,4.2%,9,50,2,12,14,15,65,29,17,14,28,16,13,163,20,55,21,5,,Eurofins,19.44265298,,,,,,,,,,,,
6,Woodhaven,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,Fallow,Fallow,15 - 30 cm,15,0.94,7.1,0.2%,2.0%,3.4%,9,32,2,6,8,11,43,96,11,85,68,8,60,101,20,49,12,5,,Eurofins,64.176555,,,,,,,,,,,,
6,Woodhaven,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,3,3,6,16,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,22/10/2022,06/10/2022,10,2022,Sedimentary,Grass,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,2,7,9,21,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,03/11/2022,26/10/2022,10,2022,Volcanic,Onions,4Oni-A,Growth,0 - 15 cm,15,0.75,6.1,0.5%,4.6%,7.9%,9,52,2,42,44,50,102,159,69,89,141,61,79,46,13,33,15,5,,Eurofins,106.1089225,,,,,,,,,,,,
4,Balles,Matamata,03/11/2022,26/10/2022,10,2022,Volcanic,Onions,4Oni-A,Growth,15 - 30 cm,15,0.78,6.4,0.3%,3.0%,5.1%,9,23,3,18,21,25,48,69,28,41,59,24,35,21,10,25,9,4,,Eurofins,46.31365198,,,,,,,,,,,,
4,Balles,Matamata,03/11/2022,26/10/2022,10,2022,Volcanic,Onions,4Oni-A,Growth,30 - 60 cm,30,0.81,,,,,,,2,9,11,27,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,03/11/2022,26/10/2022,10,2022,Volcanic,Onions,4Oni-A,Growth,60 - 90 cm,30,0.81,,,,,,,3,8,10,24,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,31/10/2022,19/10/2022,10,2022,Volcanic,Onions,3Oni-A,Growth,0 - 15 cm,15,1.05,6,0.2%,2.6%,4.6%,12,57,20,33,53,83,140,113,31,82,72,20,52,79,14,35,18,6,,Eurofins,75.479167,,,,,,,,,,,,
3,Bhana,Tuakau,31/10/2022,19/10/2022,10,2022,Volcanic,Onions,3Oni-A,Growth,15 - 30 cm,15,1.08,6,0.2%,2.2%,3.7%,10,26,2,19,21,34,60,110,24,84,68,15,52,65,14,36,15,8,,Eurofins,73.14917478,,,,,,,,,,,,
3,Bhana,Tuakau,31/10/2022,19/10/2022,10,2022,Volcanic,Onions,3Oni-A,Growth,30 - 60 cm,30,0.92,,,,,,,4,22,26,72,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,31/10/2022,19/10/2022,10,2022,Volcanic,Onions,3Oni-A,Growth,60 - 90 cm,30,0.83,,,,,,,3,16,19,47,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,09/11/2022,27/10/2022,10,2022,Sedimentary,Turf Grass,9Gra-A,Pre-harvest,0 - 15 cm,15,1.33,6.4,0.3%,2.8%,4.7%,10,74,3,5,7,14,88,261,22,239,131,11,120,16,13,22,15,5,,Eurofins,174.2981399,,,,,,,,,,,,
9,Oakley,Canterbury,09/11/2022,27/10/2022,10,2022,Sedimentary,Turf Grass,9Gra-A,Pre-harvest,15 - 30 cm,15,1.37,6.2,0.1%,0.9%,1.5%,8,26,3,2,5,10,36,84,14,70,41,7,34,6,8,19,6,7,,Eurofins,56.06958319,,,,,,,,,,,,
9,Oakley,Canterbury,09/11/2022,27/10/2022,10,2022,Sedimentary,Turf Grass,9Gra-A,Pre-harvest,30 - 60 cm,30,1.05,,,,,,,2,0,2,6,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,09/11/2022,27/10/2022,10,2022,Sedimentary,Turf Grass,9Gra-A,Pre-harvest,60 - 90 cm,30,1.05,,,,,,,2,0,2,6,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/11/2022,31/10/2022,10,2022,Sedimentary,Fallow,Fallow,Fallow,0 - 15 cm,15,0.69,5.9,0.2%,180.0%,3.1%,8,30,2,17,19,20,50,102,27,75,98,26,72,30,17,55,15,6,,Eurofins,68.04928545,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/11/2022,31/10/2022,10,2022,Sedimentary,Fallow,Fallow,Fallow,15 - 30 cm,15,0.94,6.2,0.2%,1.3%,2.3%,8,16,2,12,14,20,36,81,23,59,57,16,42,14,20,60,7,7,,Eurofins,53.79505345,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/11/2022,31/10/2022,10,2022,Sedimentary,Fallow,Fallow,Fallow,30 - 60 cm,30,0.91,,,,,,,1,10,11,30,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,11/11/2022,31/10/2022,10,2022,Sedimentary,Fallow,Fallow,Fallow,60 - 90 cm,30,0.76,,,,,,,2,2,5,11,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,15/11/2022,03/11/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,0 - 15 cm,15,1.29,6.1,0.2%,2.1%,3.7%,10,68,2,33,35,68,136,239,31,208,124,16,108,37,15,32,19,5,,Eurofins,159.5013894,,,,,,,,,,,,
8,Lovett,Canterbury,15/11/2022,03/11/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,15 - 30 cm,15,1.33,5.9,0.2%,1.9%,3.2%,11,83,2,40,42,84,167,218,28,188,109,14,94,33,14,31,13,6,,Eurofins,145.0611149,,,,,,,,,,,,
8,Lovett,Canterbury,15/11/2022,03/11/2022,6,2022,Sedimentary,Peas,8Pea-A,Growth,30 - 60 cm,30,1.47,,,,,,,2,16,17,75,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
